run_dir,job_id,composition,temperature_K,recombination_rate_defects_per_ps,crowdion_fraction,dumbbell_fraction,median_cluster_size_atoms,crowdion_mean_v111_Aps,dumbbell_mean_v111_Aps,crowdion_mean_net_displacement_A,dumbbell_mean_net_displacement_A,dumbbell_mean_tortuosity,turn_rate_dumbbell_per_ps,RRI_phys,RRI_ml
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3685521/analysis_production_eigen_greedy1/run_0,3685521,V-12Cr-12Ti,300,-33.64838790865397,0.022285300491500123,0.9777146995084999,2.0,77.09495118495693,27.607633323917128,2.7187763391743,6.468321661374366,3.320670367909018,1.2687544242337685,0.11683927265381025,-0.01506400655021314
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3685521/analysis_production_eigen_greedy1/run_1,3685521,V-12Cr-12Ti,300,-25.005040330833985,0.015299176345669026,0.984700823654331,2.0,55.50080901755504,19.46368285327637,1.9370666956544085,4.972501686251654,4.175484199441028,0.7892451704824821,-0.05724627053405375,0.23004818659906107
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3685521/analysis_production_eigen_greedy1/run_2,3685521,V-12Cr-12Ti,300,-49.4063520629583,0.024388373983755464,0.9756116260162445,2.0,87.29166043314487,30.909481282021712,2.9846378389693684,6.575167575983154,2.6740051400533646,1.2321081403530396,0.4274928515024973,-1.3975160849545036
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3685521/analysis_production_eigen_greedy1/run_3,3685521,V-12Cr-12Ti,300,-37.185799619694016,0.02080219733412962,0.9791978026658704,2.0,74.0277153187929,26.136235508873167,2.7897114616887855,5.694300520876425,3.3968630787179235,0.8780015678809512,0.039417948107226035,-0.32622919537627104
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3685521/analysis_production_eigen_greedy1/run_4,3685521,V-12Cr-12Ti,300,-11.457123428744996,0.008731432303071291,0.9912685676969287,2.0,33.16494975455456,10.374149313909454,0.8210268528791332,3.8131223429481116,4.856575645751671,0.5110188857368304,-0.27859158522875316,0.8956601632667259
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3693619/analysis_production_eigen_greedy1/run_0,3693619,V-12Cr-12Ti,873,-36.783953553476394,0.018002381584928173,0.9819976184150717,2.0,58.99982293110505,21.48146961758686,2.3086325396318204,5.3476750390877426,2.4294427470388564,0.8002118778113103,0.07106913639705183,-1.0638866487534553
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3693619/analysis_production_eigen_greedy1/run_1,3693619,V-12Cr-12Ti,873,-11.818939379588599,0.003131449392933837,0.9968685506070663,2.0,15.64756854583508,4.960465177970911,0.7759616547876975,2.8157795379446986,5.6170220365031085,0.170185021704546,-0.14394109793171658,0.1369646301446459
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3693619/analysis_production_eigen_greedy1/run_2,3693619,V-12Cr-12Ti,873,-25.96962127584304,0.009827269075515895,0.990172730924484,2.0,41.6812672998273,11.447800275124115,1.4868607267566414,3.9184692007301156,4.221490165346915,0.4462583400781577,0.00977509040158471,-0.4336558795156841
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3693619/analysis_production_eigen_greedy1/run_3,3693619,V-12Cr-12Ti,873,-34.49212968584832,0.011705507505327584,0.9882944924946724,2.0,41.71710967650558,17.16860034589773,1.46449599908947,4.07904139812917,3.260001595479105,0.5297851079759789,0.21018939997769148,-1.4997489587363482
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-12Cr-12Ti/3693619/analysis_production_eigen_greedy1/run_4,3693619,V-12Cr-12Ti,873,-15.678166227846921,0.018184409092324258,0.9818155909076758,2.0,52.01931495620324,22.676019447275475,1.8943767158671458,5.118593865006576,2.8853056827630903,0.7707653346485605,-0.5659173886642208,1.32277930590383
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3690631/analysis_production_eigen_greedy1/run_0,3690631,V-17Cr-7Ti,300,-25.607623432051387,0.009762796801684775,0.9902372031983152,2.0,47.26469257185492,12.550543326443439,1.8023899864413382,4.236629949473183,5.438426945942663,0.6711057627375588,0.23072994815147232,-0.26471242239567666
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3690631/analysis_production_eigen_greedy1/run_1,3690631,V-17Cr-7Ti,300,-20.060228314834408,0.011926666533298463,0.9880733334667015,2.0,59.18874060515553,15.503774851887389,1.9158430082986533,5.090432710232795,4.720184004395503,0.9544096378077439,0.02463370139618296,0.754449759193914
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3690631/analysis_production_eigen_greedy1/run_2,3690631,V-17Cr-7Ti,300,-22.230980282026138,0.008229644558874214,0.9917703554411258,2.0,15.801306550516774,5.956727087017838,0.9770690380465892,2.6975894370723306,8.217987730089163,0.27933005345134293,0.3698492461016378,-0.7611528397608945
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-17Cr-7Ti/3690631/analysis_production_eigen_greedy1/run_3,3690631,V-17Cr-7Ti,300,-20.823819896916326,0.011979142480680606,0.9880208575193193,2.0,30.26769718185446,11.331401404750789,1.5281015898662207,4.093314292269762,3.7442440814263347,0.5198905043905983,-0.14930782702460152,-0.3484960038014873
